Date,Soybeans,shock_type,shock_direction,window_active,is_strong,ret_5d_at_shock,ret_10d_at_shock,ret_active_at_shock,oil_5d_at_shock,oil_10d_at_shock,oil_active_at_shock,soyoil_5d_at_shock,soyoil_10d_at_shock,ok,spike_size_pct,peak_day,peak_gain_pct,half_fade_day,full_fade_day,ret_30d_pct,persistence_30d_pct,survived_30d
2024-03-19,1185.5,oil_driven,up,10d,False,0.0029610829103214886,0.03922857769011623,0.03922857769011623,0.07619912130147477,0.06807421101665034,0.06807421101665034,0.019267411734745554,0.08155473388007528,True,0.3,2,2.54,3.0,9.0,-2.22,-87.5,False
2024-03-20,1209.5,soyoil_driven,up,10d,False,0.023482123968690427,0.06073229554922177,0.06073229554922177,0.024586039318369224,0.03222549147311726,0.03222549147311726,0.021046015549242902,0.09423852915900821,True,2.35,1,2.56,2.0,8.0,0.7,27.3,True
2024-03-21,1212.0,soyoil_driven,up,10d,False,0.02646622909167906,0.04753673292999139,0.04753673292999139,-0.0023382037461396887,0.027112623607935094,0.027112623607935094,0.017730544705205853,0.06458649282590567,True,2.65,0,2.65,1.0,7.0,1.78,67.2,True
2024-03-25,1209.25,oil_driven,up,10d,False,0.01810145232582605,0.03798283261802582,0.03798283261802582,-0.009308562150603827,0.05158471227157713,0.05158471227157713,0.006570835519734475,0.06449514158325753,True,1.81,29,3.96,,,3.75,94.7,True
2024-04-02,1174.0,speculative_down,down,5d,False,-0.02915029977258632,-0.011576510208377133,-0.02915029977258632,0.03904825743505236,0.02937621215324171,0.03904825743505236,-0.008567971842523003,-0.002053435056503461,True,-2.92,12,-6.2,22.0,24.0,-0.85,13.7,True
2024-04-18,1134.25,speculative_down,down,10d,False,-0.021565667457407844,-0.03877118644067801,-0.03877118644067801,-0.02693476095684566,-0.0445778166555707,-0.0445778166555707,-0.0412864299647866,-0.08369683211387147,True,-2.16,0,-2.16,1.0,2.0,3.95,-183.0,False
2024-05-02,1190.0,speculative_up,up,10d,False,0.023435820253708828,0.04915142164425834,0.04915142164425834,-0.055283029358059954,-0.045690877013298326,-0.045690877013298326,-0.05020080355466461,-0.03513144321362138,True,2.34,12,7.33,20.0,,1.46,19.9,True
2024-05-03,1201.75,speculative_up,up,10d,False,0.03643811987925827,0.04454584963059549,0.04454584963059549,-0.06845555120124525,-0.060500346598789445,-0.060500346598789445,-0.055864725554905625,-0.04416410211801647,True,3.64,11,7.63,20.0,30.0,-0.15,-2.0,False
2024-05-06,1234.75,speculative_up,up,5d,True,0.06375188455739833,0.06352282515073204,0.06375188455739833,-0.05022381743226689,-0.05274586840882689,-0.05022381743226689,-0.011902047931074411,-0.04151871022581077,True,6.38,10,7.52,19.0,29.0,1.14,15.2,True
2024-05-07,1232.25,soyoil_driven,up,5d,True,0.07573112178088182,0.05546038543897214,0.07573112178088182,-0.043329708757898655,-0.059740922750367464,-0.043329708757898655,0.0368880946990231,-0.03222253045506551,True,7.57,9,8.95,18.0,,0.85,9.5,True
2024-05-08,1212.75,speculative_up,up,5d,True,0.04931862426995459,0.04009433962264142,0.04931862426995459,-0.00012660931937302777,-0.046129692156086644,-0.00012660931937302777,0.013624661386248738,-0.033810979101933425,True,4.93,8,7.98,17.0,29.0,0.41,5.1,True
2024-05-10,1205.0,speculative_up,up,10d,False,0.0027043894320781803,0.039241052177662716,0.039241052177662716,0.0019203882307872178,-0.06666662420531688,-0.06666662420531688,0.032767639423504136,-0.02492764131487768,True,0.27,6,3.85,12.0,15.0,-3.2,-83.2,False
2024-05-13,1205.5,speculative_up,up,10d,False,-0.023689005871633917,0.03855265991815626,0.03855265991815626,0.008154935808777575,-0.042478453630721225,-0.042478453630721225,0.0312717708148873,0.018997524768684437,True,-2.37,26,-6.44,,,-5.83,90.6,True
2024-05-14,1199.0,speculative_up,up,10d,False,-0.026983160884560764,0.046704495853339134,0.046704495853339134,-0.004593016368546254,-0.04772371106487561,-0.04772371106487561,-0.026681829182635064,0.009222023674755775,True,-2.7,30,-6.49,,,-6.49,100.0,True
2024-05-15,1213.5,speculative_up,up,10d,False,0.000618429189857661,0.0499675535366646,0.0499675535366646,-0.0045575467791812985,-0.004683579070658639,-0.004683579070658639,0.009269935041410049,0.023020896153670423,True,0.06,3,2.91,8.0,10.0,-5.13,-176.6,False
2024-05-20,1248.0,soyoil_driven,up,5d,False,0.03525508087930329,0.010730917189714528,0.03525508087930329,0.008594543498106288,0.016819567257416512,0.008594543498106288,0.040431249293634064,0.0729673768701915,True,3.53,0,3.53,6.0,8.0,-2.41,-68.2,False
2024-05-21,1236.25,soyoil_driven,up,5d,False,0.031067556296914045,0.0032460945425034637,0.031067556296914045,0.015893431767716626,0.011227416606908847,0.015893431767716626,0.07333648185882646,0.044697901194378886,True,3.11,3,4.09,5.0,8.0,-0.88,-21.4,False
2024-05-22,1246.25,soyoil_driven,up,5d,False,0.02698805109188296,0.027623170480313375,0.02698805109188296,-0.01348082914434634,-0.017976936414080158,-0.01348082914434634,0.053501765140603785,0.06326765806946799,True,2.7,2,2.84,3.0,5.0,-3.23,-113.8,False
2024-05-23,1239.25,soyoil_driven,up,10d,False,0.01891058581706062,0.03898553762313983,0.03898553762313983,-0.029786703399717007,-0.030153915281765364,-0.030153915281765364,0.015049374709259933,0.07569627308330062,True,1.89,1,2.61,2.0,3.0,-4.5,-172.4,False
2024-05-30,1209.75,speculative_down,down,5d,False,-0.02928786359077229,-0.0030902348578492056,-0.02928786359077229,0.0043831889728349616,-0.009156729193161683,0.0043831889728349616,-0.0034873549190761466,0.04982783057768536,True,-2.93,30,-13.5,,,-13.5,100.0,True
2024-05-31,1205.0,speculative_down,down,5d,False,-0.027637684083114733,-0.009249743062692661,-0.027637684083114733,0.001561013567061842,-0.02827218728078007,0.001561013567061842,0.007302541294162523,0.02246181468368813,True,-2.76,29,-13.01,,,-12.0,92.2,True
2024-06-03,1184.5,oil_collapse,down,5d,True,-0.05088141025641024,-0.0354234527687296,-0.05088141025641024,-0.04503345271522807,-0.07294524751410947,-0.04503345271522807,-0.01802005249260974,-0.0249613663947168,True,-5.09,28,-13.62,,,-12.08,88.7,True
2024-06-04,1179.0,oil_collapse,down,10d,False,-0.041073607157381065,-0.055288461538461564,-0.055288461538461564,-0.08242517449742814,-0.08208023560487232,-0.08208023560487232,-0.041739927653160924,-0.05829017229551381,True,-4.11,27,-12.32,,,-10.65,86.5,True
2024-06-05,1177.25,oil_collapse,down,10d,False,-0.030271828665568323,-0.04772497472194137,-0.04772497472194137,-0.06512688935356215,-0.06548072547974171,-0.06548072547974171,-0.05993896983387692,-0.05850251527690031,True,-3.03,26,-11.2,,,-9.62,85.8,True
2024-06-06,1200.0,speculative_down,down,10d,False,-0.008059516429014257,-0.03711133400200606,-0.03711133400200606,-0.030291368237983063,-0.026040952056381017,-0.026040952056381017,-0.02996506364837248,-0.03334791975533402,True,-0.81,25,-10.89,,,-7.6,69.8,True
2024-06-07,1179.25,speculative_down,down,10d,False,-0.021369294605809164,-0.048416380875529574,-0.048416380875529574,-0.018963490388141824,-0.017432079086854735,-0.017432079086854735,-0.04152019707034271,-0.03452085872982802,True,-2.14,24,-10.54,,,-7.26,68.9,True
