Date,expected_return,signal,confidence,expected_vol
2017-07-13,0.032663345,HOLD,0.06532669,0.2975364327430725
2017-07-14,0.06097561,HOLD,0.12195122,0.2975364327430725
2017-07-17,0.06097561,HOLD,0.12195122,0.28960272669792175
2017-07-18,0.06097561,HOLD,0.12195122,0.26631662249565125
2017-07-19,0.06097561,HOLD,0.12195122,0.26631662249565125
2017-07-20,0.06097561,HOLD,0.12195122,0.26631662249565125
2017-07-21,0.06097561,HOLD,0.12195122,0.26631662249565125
2017-07-24,0.06097561,HOLD,0.12195122,0.24955865740776062
2017-07-25,0.06097561,HOLD,0.12195122,0.2541835904121399
2017-07-26,0.06097561,HOLD,0.12195122,0.2541835904121399
2017-07-27,0.06097561,HOLD,0.12195122,0.18626894056797028
2017-07-28,0.06097561,HOLD,0.12195122,0.17304186522960663
2017-07-31,0.06097561,HOLD,0.12195122,0.18626894056797028
2017-08-01,0.06097561,HOLD,0.12195122,0.24541214108467102
2017-08-02,0.06097561,HOLD,0.12195122,0.24541214108467102
2017-08-03,0.06097561,HOLD,0.12195122,0.22811907529830933
2017-08-04,0.06097561,HOLD,0.12195122,0.24038293957710266
2017-08-07,0.06097561,HOLD,0.12195122,0.24030716717243195
2017-08-08,0.06097561,HOLD,0.12195122,0.24030716717243195
2017-08-09,0.06097561,HOLD,0.12195122,0.22515669465065002
2017-08-10,0.06097561,HOLD,0.12195122,0.2615320384502411
2017-08-11,0.06097561,HOLD,0.12195122,0.2615320384502411
2017-08-14,0.06097561,HOLD,0.12195122,0.2529449462890625
2017-08-15,0.06097561,HOLD,0.12195122,0.2091933786869049
2017-08-16,0.06097561,HOLD,0.12195122,0.2091933786869049
2017-08-17,0.06097561,HOLD,0.12195122,0.2091933786869049
2017-08-18,0.06097561,HOLD,0.12195122,0.2091933786869049
2017-08-21,0.06097561,HOLD,0.12195122,0.19917675852775574
2017-08-22,0.06097561,HOLD,0.12195122,0.19917675852775574
2017-08-23,0.06097561,HOLD,0.12195122,0.19917675852775574
2017-08-24,0.06097561,HOLD,0.12195122,0.14895528554916382
2017-08-25,0.06097561,HOLD,0.12195122,0.14794063568115234
2017-08-28,0.06097561,HOLD,0.12195122,0.14794063568115234
2017-08-29,0.06097561,HOLD,0.12195122,0.14794063568115234
2017-08-30,0.06097561,HOLD,0.12195122,0.14794063568115234
2017-08-31,0.06097561,HOLD,0.12195122,0.14794063568115234
2017-09-01,0.06097561,HOLD,0.12195122,0.14794063568115234
2017-09-05,0.06097561,HOLD,0.12195122,0.15372931957244873
2017-09-06,0.06097561,HOLD,0.12195122,0.15372931957244873
2017-09-07,0.06097561,HOLD,0.12195122,0.15271466970443726
2017-09-08,0.06097561,HOLD,0.12195122,0.15749311447143555
2017-09-11,0.06097561,HOLD,0.12195122,0.15749311447143555
2017-09-12,0.06097561,HOLD,0.12195122,0.16744093596935272
2017-09-13,0.06097561,HOLD,0.12195122,0.16566196084022522
2017-09-14,0.06097561,HOLD,0.12195122,0.16657376289367676
2017-09-15,0.06097561,HOLD,0.12195122,0.15571413934230804
2017-09-18,0.06097561,HOLD,0.12195122,0.15571413934230804
2017-09-19,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-09-20,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-09-21,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-09-22,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-09-25,0.06097561,HOLD,0.12195122,0.15571413934230804
2017-09-26,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-09-27,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-09-28,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-09-29,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-10-02,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-10-03,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-10-04,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-10-05,0.06097561,HOLD,0.12195122,0.15571413934230804
2017-10-06,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-10-09,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-10-10,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-10-11,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-10-12,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-13,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-16,0.06097561,HOLD,0.12195122,0.1682136356830597
2017-10-17,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-18,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-19,0.06097561,HOLD,0.12195122,0.1682136356830597
2017-10-20,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-23,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-24,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-25,0.06097561,HOLD,0.12195122,0.17314167320728302
2017-10-26,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-10-27,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-10-30,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-10-31,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-01,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-02,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-03,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-06,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-07,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-08,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-11-09,0.06097561,HOLD,0.12195122,0.14616166055202484
