Date,insp_soy_lbs,insp_soy_bu,insp_soy_4wk_avg,insp_soy_yoy,insp_soy_zscore
2018-07-19,1605319810,26755330.166666668,26491430.625000004,0.13447445082169174,-0.5625822660959849
2018-07-26,1694901270,28248354.5,25744365.8125,0.5577901858832275,-0.5062998542122273
2018-08-02,1970214640,32836910.666666668,27816884.8125,0.30123253121351445,-0.30178881355312165
2018-08-09,1282199400,21369990.0,27302646.333333336,-0.015747841553465758,-0.8334514104184869
2018-08-16,1457324970,24288749.5,26686001.166666664,-0.011514472082635119,-0.6976494525013419
2018-08-23,2001783240,33363054.0,27964676.041666664,0.22940003632367678,-0.28292605023559164
2018-08-30,1711488100,28524801.666666668,26886648.791666668,0.09011802306779915,-0.5106414280276758
2018-09-06,2082109967,34701832.78333333,30219609.487499997,-0.15532429461551056,-0.2172457376639322
2018-09-13,1735646270,28927437.833333332,31379281.57083333,-0.17528429315594307,-0.4795623545410011
2018-09-20,1636541315,27275688.583333332,29857440.21666667,-0.2964693715592205,-0.5444018824229732
2018-09-27,1414810285,23580171.416666668,28621282.654166665,-0.30234692943741925,-0.7033602594864587
2018-10-04,1388181573,23136359.55,25729914.34583333,-0.5776310843049557,-0.6961594821958704
2018-10-11,2729685005,45494750.083333336,29871742.408333335,-0.3113451653570809,0.3591341310875535
2018-10-18,2685047675,44750794.583333336,34240518.90833334,-0.5404988748404289,0.4038721334950979
2018-10-25,2988905010,49815083.5,40799246.92916667,-0.46668404614634584,0.7667174913692649
2018-11-01,2750699966,45844999.43333333,46476406.9,-0.4996607259675506,0.6588417538199642
2018-11-08,2992474334,49874572.233333334,47571362.4375,-0.41422943162731785,1.0401614829643435
2018-11-15,2449202570,40820042.833333336,46588674.5,-0.5125141455365736,0.5490253873567439
2018-11-22,2476385250,41273087.5,44453175.5,-0.34853480543246285,0.6471164870146459
2018-11-29,2327750730,38795845.5,42690887.016666666,-0.41442907358971814,0.528316271449132
2018-12-06,2042869290,34047821.5,38734199.333333336,-0.25465364606464613,0.14160236842905566
2018-12-13,2268175800,37802930.0,37979921.125,-0.4271556739615393,0.5638259735352273
2018-12-20,1542539745,25708995.75,34088898.1875,-0.45627226437650703,-0.5577954375361038
2018-12-27,1667092850,27784880.833333332,31336157.020833332,-0.3754453541695757,-0.33033999763692756
2019-01-03,980598875,16343314.583333334,26910030.291666668,-0.14005513089553678,-1.4417394550854763
2019-01-10,2425865975,40431099.583333336,27567072.6875,-0.11619287017261504,0.9345725096297519
2019-01-17,2491986648,41533110.8,31523101.449999996,-0.20513899860478446,1.100927083066728
2019-01-24,2082760925,34712682.083333336,33255051.7625,-0.1655403022277977,0.4205595854529859
2019-01-31,2409362505,40156041.75,39208233.55416667,-0.16224837777221435,1.0221193294944222
2019-02-07,2537282559,42288042.65,39672469.32083333,-0.14089745457180414,1.2924342582543207
2019-02-14,2388915160,39815252.666666664,39243004.7875,0.12631389801007287,1.0076460634591475
2019-02-21,2884837040,48080617.333333336,42584988.6,0.7044568095935912,1.796197299420737
2019-02-28,1871554540,31192575.666666668,40344122.079166666,-0.16640477848626212,0.05004488594131881
2019-03-07,1959299605,32654993.416666668,37935859.77083333,-0.044638982646774794,0.20632453488926783
2019-03-14,1873344074,31222401.233333334,35787646.9125,0.6978188575484101,0.030957412065558406
2019-03-21,1895927820,31598797.0,31667191.829166666,0.21115935415442966,0.059920988013518944
2019-03-28,1569820005,26163666.75,30409964.6,0.22007703983392757,-0.5343193592828626
2019-04-04,1959452470,32657541.166666668,30410601.5375,1.331497788272915,0.13044697942456862
2019-04-11,1050109908,17501831.8,26980459.179166667,0.06683051332827628,-1.5671452178104641
2019-04-18,851186610,14186443.5,22627370.804166667,-0.18262514703280008,-1.9081002732947532
2019-04-25,1119462620,18657710.333333332,20750881.7,-0.2678313329096903,-1.3784799958924394
