Date,trends_interest,trends_norm
2023-03-11,48.03225806451613,-0.03935483870967744
2023-03-12,47.935483870967744,-0.04129032258064513
2023-03-13,47.83870967741935,-0.043225806451612954
2023-03-14,47.74193548387097,-0.04516129032258064
2023-03-15,47.645161290322584,-0.047096774193548324
2023-03-16,47.54838709677419,-0.04903225806451616
2023-03-17,47.45161290322581,-0.05096774193548384
2023-03-18,47.354838709677416,-0.052903225806451674
2023-03-19,47.25806451612903,-0.054838709677419356
2023-03-20,47.16129032258065,-0.056774193548387045
2023-03-21,47.064516129032256,-0.05870967741935487
2023-03-22,46.96774193548387,-0.06064516129032256
2023-03-23,46.87096774193549,-0.06258064516129025
2023-03-24,46.774193548387096,-0.06451612903225808
2023-03-25,46.67741935483871,-0.06645161290322577
2023-03-26,46.58064516129032,-0.06838709677419359
2023-03-27,46.483870967741936,-0.07032258064516128
2023-03-28,46.38709677419355,-0.07225806451612897
2023-03-29,46.29032258064516,-0.0741935483870968
2023-03-30,46.193548387096776,-0.07612903225806449
2023-03-31,46.096774193548384,-0.07806451612903231
2023-04-01,46.0,-0.08
2023-04-02,46.06666666666667,-0.07866666666666661
2023-04-03,46.13333333333333,-0.07733333333333334
2023-04-04,46.2,-0.07599999999999994
2023-04-05,46.266666666666666,-0.07466666666666669
2023-04-06,46.333333333333336,-0.07333333333333329
2023-04-07,46.4,-0.07200000000000002
2023-04-08,46.46666666666667,-0.07066666666666663
2023-04-09,46.53333333333333,-0.06933333333333337
2023-04-10,46.6,-0.06799999999999998
2023-04-11,46.666666666666664,-0.06666666666666671
2023-04-12,46.733333333333334,-0.06533333333333331
2023-04-13,46.8,-0.06400000000000006
2023-04-14,46.86666666666667,-0.06266666666666666
2023-04-15,46.93333333333333,-0.0613333333333334
2023-04-16,47.0,-0.06
2023-04-17,47.06666666666667,-0.0586666666666666
2023-04-18,47.13333333333333,-0.05733333333333334
2023-04-19,47.2,-0.055999999999999946
2023-04-20,47.266666666666666,-0.05466666666666668
2023-04-21,47.333333333333336,-0.05333333333333329
2023-04-22,47.4,-0.052000000000000025
2023-04-23,47.46666666666667,-0.05066666666666663
2023-04-24,47.53333333333333,-0.04933333333333337
2023-04-25,47.6,-0.04799999999999997
2023-04-26,47.666666666666664,-0.04666666666666672
2023-04-27,47.733333333333334,-0.045333333333333316
2023-04-28,47.8,-0.04400000000000006
2023-04-29,47.86666666666667,-0.04266666666666666
2023-04-30,47.93333333333333,-0.0413333333333334
2023-05-01,48.0,-0.04
2023-05-02,48.54838709677419,-0.029032258064516158
2023-05-03,49.096774193548384,-0.018064516129032312
2023-05-04,49.645161290322584,-0.007096774193548328
2023-05-05,50.193548387096776,0.003870967741935516
2023-05-06,50.74193548387097,0.014838709677419359
2023-05-07,51.29032258064516,0.0258064516129032
2023-05-08,51.83870967741935,0.03677419354838705
2023-05-09,52.38709677419355,0.04774193548387103
2023-05-10,52.935483870967744,0.05870967741935487
2023-05-11,53.483870967741936,0.06967741935483872
2023-05-12,54.03225806451613,0.08064516129032256
2023-05-13,54.58064516129032,0.09161290322580641
2023-05-14,55.12903225806451,0.10258064516129024
2023-05-15,55.67741935483871,0.11354838709677423
2023-05-16,56.225806451612904,0.12451612903225807
2023-05-17,56.774193548387096,0.13548387096774192
2023-05-18,57.32258064516129,0.14645161290322575
2023-05-19,57.87096774193549,0.15741935483870975
2023-05-20,58.41935483870968,0.16838709677419358
2023-05-21,58.96774193548387,0.17935483870967744
2023-05-22,59.516129032258064,0.19032258064516128
2023-05-23,60.064516129032256,0.20129032258064514
2023-05-24,60.61290322580645,0.21225806451612897
2023-05-25,61.16129032258064,0.2232258064516128
2023-05-26,61.70967741935484,0.2341935483870968
2023-05-27,62.25806451612903,0.24516129032258063
2023-05-28,62.806451612903224,0.2561290322580645
2023-05-29,63.354838709677416,0.2670967741935483
2023-05-30,63.903225806451616,0.2780645161290323
2023-05-31,64.45161290322581,0.28903225806451616
2023-06-01,65.0,0.3
2023-06-02,64.73333333333333,0.2946666666666667
2023-06-03,64.46666666666667,0.2893333333333334
2023-06-04,64.2,0.28400000000000003
2023-06-05,63.93333333333333,0.2786666666666666
2023-06-06,63.666666666666664,0.27333333333333326
2023-06-07,63.4,0.26799999999999996
2023-06-08,63.13333333333333,0.26266666666666666
2023-06-09,62.86666666666667,0.25733333333333336
2023-06-10,62.6,0.252
2023-06-11,62.333333333333336,0.2466666666666667
2023-06-12,62.06666666666667,0.2413333333333334
2023-06-13,61.8,0.23599999999999993
2023-06-14,61.53333333333333,0.23066666666666663
2023-06-15,61.266666666666666,0.2253333333333333
2023-06-16,61.0,0.22
2023-06-17,60.733333333333334,0.21466666666666667
2023-06-18,60.46666666666667,0.20933333333333337
2023-06-19,60.2,0.20400000000000007
2023-06-20,59.93333333333334,0.19866666666666674
2023-06-21,59.666666666666664,0.19333333333333327
2023-06-22,59.4,0.18799999999999997
2023-06-23,59.13333333333333,0.18266666666666664
2023-06-24,58.86666666666667,0.17733333333333334
2023-06-25,58.6,0.17200000000000004
2023-06-26,58.333333333333336,0.1666666666666667
2023-06-27,58.06666666666666,0.16133333333333325
2023-06-28,57.8,0.15599999999999994
2023-06-29,57.53333333333333,0.15066666666666662
2023-06-30,57.266666666666666,0.14533333333333331
2023-07-01,57.0,0.14
2023-07-02,56.87096774193548,0.1374193548387096
2023-07-03,56.74193548387097,0.13483870967741937
2023-07-04,56.61290322580645,0.13225806451612898
2023-07-05,56.483870967741936,0.12967741935483873
2023-07-06,56.354838709677416,0.12709677419354834
2023-07-07,56.225806451612904,0.12451612903225807
2023-07-08,56.096774193548384,0.12193548387096768
2023-07-09,55.96774193548387,0.11935483870967743
2023-07-10,55.83870967741935,0.11677419354838704
2023-07-11,55.70967741935484,0.11419354838709679
2023-07-12,55.58064516129032,0.1116129032258064
2023-07-13,55.45161290322581,0.10903225806451616
2023-07-14,55.32258064516129,0.10645161290322576
2023-07-15,55.193548387096776,0.10387096774193552
2023-07-16,55.064516129032256,0.10129032258064513
2023-07-17,54.935483870967744,0.09870967741935488
2023-07-18,54.806451612903224,0.09612903225806449
2023-07-19,54.67741935483871,0.09354838709677424
2023-07-20,54.54838709677419,0.09096774193548385
2023-07-21,54.41935483870968,0.0883870967741936
2023-07-22,54.29032258064516,0.0858064516129032
2023-07-23,54.16129032258065,0.08322580645161295
2023-07-24,54.03225806451613,0.08064516129032256
2023-07-25,53.903225806451616,0.07806451612903231
2023-07-26,53.774193548387096,0.07548387096774192
2023-07-27,53.645161290322584,0.07290322580645167
2023-07-28,53.516129032258064,0.07032258064516128
2023-07-29,53.38709677419355,0.06774193548387103
2023-07-30,53.25806451612903,0.06516129032258064
2023-07-31,53.12903225806451,0.06258064516129025
2023-08-01,53.0,0.06
2023-08-02,52.96774193548387,0.059354838709677435
2023-08-03,52.935483870967744,0.05870967741935487
2023-08-04,52.903225806451616,0.058064516129032316
2023-08-05,52.87096774193548,0.05741935483870961
2023-08-06,52.83870967741935,0.056774193548387045
2023-08-07,52.806451612903224,0.05612903225806448
2023-08-08,52.774193548387096,0.05548387096774192
2023-08-09,52.74193548387097,0.054838709677419356
2023-08-10,52.70967741935484,0.0541935483870968
2023-08-11,52.67741935483871,0.05354838709677424
2023-08-12,52.645161290322584,0.052903225806451674
2023-08-13,52.61290322580645,0.052258064516128966
