datetime,open,high,low,close,volume
2026-04-14 09:45:00+00:00,1163.75,1164.0,1163.0,1163.75,610
2026-04-14 10:00:00+00:00,1163.5,1163.75,1162.5,1162.75,254
2026-04-14 10:15:00+00:00,1162.75,1163.5,1162.5,1163.5,60
2026-04-14 10:30:00+00:00,1163.25,1165.0,1163.25,1164.5,137
2026-04-14 10:45:00+00:00,1164.25,1164.5,1163.5,1163.5,47
2026-04-14 11:00:00+00:00,1163.5,1165.0,1163.25,1165.0,353
2026-04-14 11:15:00+00:00,1165.0,1165.5,1165.0,1165.25,162
2026-04-14 11:30:00+00:00,1165.25,1166.0,1165.25,1166.0,298
2026-04-14 11:45:00+00:00,1166.0,1167.75,1165.0,1166.5,993
2026-04-14 12:00:00+00:00,1166.25,1167.0,1166.0,1166.5,164
2026-04-14 12:15:00+00:00,1166.5,1167.0,1165.0,1165.25,197
2026-04-14 12:30:00+00:00,1165.5,1166.5,1165.5,1166.25,483
2026-04-14 13:30:00+00:00,1165.75,1167.75,1162.0,1166.75,10875
2026-04-14 13:45:00+00:00,1166.5,1168.5,1166.0,1167.75,3189
2026-04-14 14:00:00+00:00,1167.5,1168.0,1164.5,1165.0,6024
2026-04-14 14:15:00+00:00,1165.0,1167.75,1163.75,1166.25,4766
2026-04-14 14:30:00+00:00,1166.25,1166.25,1163.5,1164.0,3524
2026-04-14 14:45:00+00:00,1164.0,1166.5,1164.0,1165.5,4999
2026-04-14 15:00:00+00:00,1165.75,1166.25,1164.0,1165.0,1848
2026-04-14 15:15:00+00:00,1165.0,1165.0,1161.75,1163.25,5548
2026-04-14 15:30:00+00:00,1163.25,1164.5,1162.25,1162.25,1514
2026-04-14 15:45:00+00:00,1162.0,1162.25,1160.5,1161.75,4257
2026-04-14 16:00:00+00:00,1161.5,1161.5,1159.25,1159.5,2014
2026-04-14 16:15:00+00:00,1159.25,1160.25,1159.0,1159.75,1751
2026-04-14 16:30:00+00:00,1159.75,1160.75,1158.25,1159.25,2393
2026-04-14 16:45:00+00:00,1159.5,1160.0,1157.25,1157.5,3342
2026-04-14 17:00:00+00:00,1157.25,1158.25,1156.5,1157.5,2147
2026-04-14 17:15:00+00:00,1157.75,1159.5,1157.5,1159.25,1950
2026-04-14 17:30:00+00:00,1159.25,1161.25,1157.25,1157.5,6408
2026-04-14 17:45:00+00:00,1157.5,1159.75,1156.0,1159.0,8077
2026-04-14 18:00:00+00:00,1159.0,1159.5,1157.5,1157.5,9022
2026-04-14 18:15:00+00:00,1157.75,1158.0,1156.0,1156.5,4421
2026-04-15 00:00:00+00:00,1156.75,1159.5,1156.75,1159.25,2749
2026-04-15 00:15:00+00:00,1159.25,1159.75,1159.0,1159.75,89
2026-04-15 00:30:00+00:00,1159.5,1159.5,1159.25,1159.25,42
2026-04-15 00:45:00+00:00,1159.25,1160.0,1159.25,1159.75,1358
2026-04-15 01:00:00+00:00,1160.0,1160.5,1159.25,1160.0,736
2026-04-15 01:15:00+00:00,1159.75,1160.0,1159.5,1159.75,265
2026-04-15 01:30:00+00:00,1160.0,1160.25,1159.75,1160.25,121
2026-04-15 01:45:00+00:00,1160.0,1161.5,1160.0,1161.25,152
2026-04-15 02:00:00+00:00,1161.25,1161.5,1161.0,1161.5,193
2026-04-15 02:15:00+00:00,1161.5,1162.0,1161.5,1162.0,254
2026-04-15 02:30:00+00:00,1162.0,1162.25,1161.5,1161.5,74
2026-04-15 02:45:00+00:00,1161.5,1161.5,1161.25,1161.5,20
2026-04-15 03:00:00+00:00,1161.5,1161.75,1161.0,1161.5,1120
2026-04-15 03:15:00+00:00,1161.5,1161.5,1161.0,1161.25,26
2026-04-15 03:30:00+00:00,1161.25,1161.25,1160.75,1160.75,15
2026-04-15 03:45:00+00:00,1160.75,1161.25,1160.75,1161.0,6
2026-04-15 04:00:00+00:00,1161.0,1161.0,1160.75,1160.75,521
2026-04-15 04:15:00+00:00,1161.0,1161.0,1161.0,1161.0,32
2026-04-15 04:30:00+00:00,1161.0,1161.0,1161.0,1161.0,1
2026-04-15 04:45:00+00:00,1161.0,1161.0,1160.75,1161.0,934
2026-04-15 05:00:00+00:00,1161.25,1161.75,1161.0,1161.5,1040
2026-04-15 05:15:00+00:00,1161.75,1162.25,1161.75,1162.25,79
2026-04-15 05:30:00+00:00,1162.5,1162.5,1162.0,1162.5,101
2026-04-15 05:45:00+00:00,1162.5,1162.75,1162.0,1162.0,44
2026-04-15 06:00:00+00:00,1162.25,1162.25,1161.5,1161.5,81
2026-04-15 06:15:00+00:00,1161.5,1162.5,1161.25,1162.25,210
2026-04-15 06:30:00+00:00,1162.25,1163.5,1162.25,1162.75,198
2026-04-15 06:45:00+00:00,1163.0,1163.75,1163.0,1163.5,218
2026-04-15 07:00:00+00:00,1163.5,1164.0,1163.25,1164.0,116
2026-04-15 07:15:00+00:00,1164.0,1164.0,1163.5,1163.75,85
2026-04-15 07:30:00+00:00,1163.75,1164.0,1163.25,1163.25,117
2026-04-15 07:45:00+00:00,1163.25,1163.25,1162.0,1163.0,988
2026-04-15 08:00:00+00:00,1163.25,1164.25,1163.0,1164.0,200
2026-04-15 08:15:00+00:00,1164.0,1164.0,1163.75,1163.75,36
2026-04-15 08:30:00+00:00,1163.5,1164.5,1163.5,1163.75,174
2026-04-15 08:45:00+00:00,1164.0,1164.75,1163.5,1164.25,2157
2026-04-15 09:00:00+00:00,1164.25,1164.5,1163.75,1164.5,777
2026-04-15 09:15:00+00:00,1164.5,1165.0,1164.25,1164.5,373
2026-04-15 09:30:00+00:00,1164.25,1165.0,1164.25,1164.75,92
2026-04-15 09:45:00+00:00,1164.75,1165.0,1164.25,1164.5,132
2026-04-15 10:00:00+00:00,1164.75,1164.75,1163.75,1164.0,96
2026-04-15 10:15:00+00:00,1164.25,1164.5,1163.0,1163.75,594
2026-04-15 10:30:00+00:00,1163.75,1164.0,1163.0,1163.25,339
2026-04-15 10:45:00+00:00,1163.25,1164.0,1163.0,1164.0,256
2026-04-15 11:00:00+00:00,1164.0,1164.5,1163.5,1163.75,1919
2026-04-15 11:15:00+00:00,1163.75,1163.75,1162.25,1162.25,211
2026-04-15 11:30:00+00:00,1162.0,1163.0,1161.75,1162.75,136
2026-04-15 11:45:00+00:00,1162.75,1165.75,1162.0,1165.75,3270
2026-04-15 12:00:00+00:00,1165.75,1168.0,1165.5,1167.0,2175
