entry_dt,exit_dt,side,entry,exit,n,exit_tag,gross_pnl,net_pnl,bars_held
2026-03-10 02:05:00+00:00,2026-03-10 02:40:00+00:00,SELL,1188.125,1193.7087,1,SL,-27.92,-29.400000000000002,7
2026-03-10 12:05:00+00:00,2026-03-10 12:20:00+00:00,SELL,1196.125,1199.7375,1,SL,-18.06,-19.54,3
2026-03-11 12:20:00+00:00,2026-03-11 12:35:00+00:00,SELL,1218.375,1222.3189,1,SL,-19.72,-21.2,3
2026-03-11 12:40:00+00:00,2026-03-11 13:30:00+00:00,SELL,1220.375,1224.2713,1,SL,-19.48,-20.96,1
2026-03-11 13:45:00+00:00,2026-03-11 13:50:00+00:00,SELL,1221.125,1217.6252,1,TP,17.5,16.02,1
2026-03-11 16:30:00+00:00,2026-03-11 16:40:00+00:00,SELL,1226.125,1223.0466,1,TP,15.39,13.91,2
2026-03-12 11:55:00+00:00,2026-03-12 12:35:00+00:00,SELL,1229.625,1228.294,1,TP,6.65,5.17,8
2026-03-12 14:15:00+00:00,2026-03-12 14:45:00+00:00,SELL,1232.375,1229.2756,1,TP,15.5,14.02,6
2026-03-12 15:05:00+00:00,2026-03-12 15:30:00+00:00,SELL,1233.125,1238.3298,1,SL,-26.02,-27.5,5
2026-03-12 15:35:00+00:00,2026-03-12 15:45:00+00:00,SELL,1237.125,1233.2109,1,TP,19.57,18.09,2
2026-03-12 16:10:00+00:00,2026-03-12 16:35:00+00:00,SELL,1230.625,1226.6846,1,TP,19.7,18.22,5
2026-03-12 16:50:00+00:00,2026-03-12 17:40:00+00:00,SELL,1227.875,1233.2275,1,SL,-26.76,-28.240000000000002,10
2026-03-13 06:50:00+00:00,2026-03-13 07:50:00+00:00,SELL,1219.375,1220.375,1,TIME,-5.0,-6.48,12
2026-03-13 08:10:00+00:00,2026-03-13 08:20:00+00:00,SELL,1217.875,1217.219,1,TP,3.28,1.7999999999999998,2
2026-03-13 08:25:00+00:00,2026-03-13 09:25:00+00:00,SELL,1216.375,1218.625,1,TIME,-11.25,-12.73,12
2026-03-13 10:55:00+00:00,2026-03-13 11:10:00+00:00,SELL,1214.625,1217.718,1,SL,-15.47,-16.95,3
2026-03-13 13:35:00+00:00,2026-03-13 14:30:00+00:00,SELL,1211.875,1210.1875,1,TP,8.44,6.959999999999999,11
2026-03-13 16:45:00+00:00,2026-03-13 17:10:00+00:00,SELL,1225.875,1222.5156,1,TP,16.8,15.32,5
2026-03-16 00:05:00+00:00,2026-03-16 00:50:00+00:00,SELL,1204.125,1197.7266,1,TP,31.99,30.509999999999998,9
2026-03-16 01:05:00+00:00,2026-03-16 01:45:00+00:00,SELL,1196.875,1203.3239,1,SL,-32.24,-33.72,8
2026-03-16 05:10:00+00:00,2026-03-16 05:30:00+00:00,SELL,1199.875,1202.5596,1,SL,-13.42,-14.9,4
2026-03-16 05:35:00+00:00,2026-03-16 05:45:00+00:00,SELL,1200.625,1200.7576,1,TP,-0.66,-2.14,2
2026-03-17 12:05:00+00:00,2026-03-17 12:10:00+00:00,BUY,1163.375,1158.9643,1,SL,-22.05,-23.53,1
2026-03-17 15:20:00+00:00,2026-03-17 16:00:00+00:00,BUY,1157.125,1161.3021,1,TP,20.89,19.41,8
2026-03-18 00:45:00+00:00,2026-03-18 01:45:00+00:00,BUY,1154.375,1151.375,1,TIME,-15.0,-16.48,12
2026-03-18 01:50:00+00:00,2026-03-18 02:50:00+00:00,BUY,1152.875,1148.9547,1,SL,-19.6,-21.080000000000002,12
2026-03-18 02:55:00+00:00,2026-03-18 03:15:00+00:00,BUY,1150.875,1151.5242,1,TP,3.25,1.77,4
2026-03-18 04:05:00+00:00,2026-03-18 05:05:00+00:00,BUY,1151.125,1149.125,1,TIME,-10.0,-11.48,12
2026-03-18 05:10:00+00:00,2026-03-18 05:50:00+00:00,BUY,1150.875,1150.6094,1,TP,-1.33,-2.81,8
2026-03-18 06:10:00+00:00,2026-03-18 06:30:00+00:00,BUY,1151.875,1149.1664,1,SL,-13.54,-15.02,4
2026-03-19 01:30:00+00:00,2026-03-19 02:10:00+00:00,BUY,1167.875,1164.1002,1,SL,-18.87,-20.35,8
2026-03-19 02:15:00+00:00,2026-03-19 02:30:00+00:00,BUY,1165.625,1161.9887,1,SL,-18.18,-19.66,3
2026-03-19 02:35:00+00:00,2026-03-19 03:35:00+00:00,BUY,1162.375,1159.375,1,TIME,-15.0,-16.48,12
2026-03-23 00:05:00+00:00,2026-03-23 01:00:00+00:00,BUY,1158.875,1160.9669,1,TP,10.46,8.98,11
2026-03-23 01:30:00+00:00,2026-03-23 02:30:00+00:00,BUY,1166.625,1164.375,1,TIME,-11.25,-12.73,12
2026-03-23 02:50:00+00:00,2026-03-23 03:00:00+00:00,BUY,1166.375,1166.9919,1,TP,3.08,1.6,2
2026-03-23 03:15:00+00:00,2026-03-23 04:15:00+00:00,BUY,1168.875,1167.875,1,TIME,-5.0,-6.48,12
2026-03-23 05:05:00+00:00,2026-03-23 05:30:00+00:00,SELL,1167.375,1167.9173,1,TP,-2.71,-4.1899999999999995,5
2026-03-23 05:35:00+00:00,2026-03-23 05:40:00+00:00,SELL,1166.625,1167.0598,1,TP,-2.17,-3.65,1
2026-03-24 01:00:00+00:00,2026-03-24 01:25:00+00:00,BUY,1162.875,1164.4687,1,TP,7.97,6.49,5
2026-03-24 07:30:00+00:00,2026-03-24 07:45:00+00:00,BUY,1159.625,1156.7168,1,SL,-14.54,-16.02,3
2026-03-24 13:45:00+00:00,2026-03-24 13:55:00+00:00,BUY,1159.625,1161.1593,1,TP,7.67,6.1899999999999995,2
2026-03-25 01:30:00+00:00,2026-03-25 02:30:00+00:00,BUY,1153.625,1153.125,1,TIME,-2.5,-3.98,12
2026-03-25 03:00:00+00:00,2026-03-25 04:05:00+00:00,SELL,1152.875,1153.875,1,TIME,-5.0,-6.48,12
2026-03-25 04:50:00+00:00,2026-03-25 05:10:00+00:00,SELL,1152.375,1154.8352,1,SL,-12.3,-13.780000000000001,4
2026-03-26 00:15:00+00:00,2026-03-26 00:20:00+00:00,BUY,1179.625,1174.3421,1,SL,-26.41,-27.89,1
2026-03-26 00:25:00+00:00,2026-03-26 01:25:00+00:00,BUY,1175.875,1174.125,1,TIME,-8.75,-10.23,12
2026-03-26 02:05:00+00:00,2026-03-26 02:10:00+00:00,BUY,1174.875,1171.3056,1,SL,-17.85,-19.330000000000002,1
2026-03-27 02:35:00+00:00,2026-03-27 02:50:00+00:00,SELL,1171.625,1174.6142,1,SL,-14.95,-16.43,3
2026-03-27 05:40:00+00:00,2026-03-27 06:15:00+00:00,SELL,1174.125,1176.6376,1,SL,-12.56,-14.040000000000001,7
2026-03-27 06:20:00+00:00,2026-03-27 07:20:00+00:00,SELL,1174.875,1176.375,1,TIME,-7.5,-8.98,12
2026-03-30 03:15:00+00:00,2026-03-30 04:15:00+00:00,BUY,1162.875,1162.875,1,TIME,0.0,-1.48,12
2026-03-30 04:30:00+00:00,2026-03-30 05:40:00+00:00,SELL,1162.625,1164.375,1,TIME,-8.75,-10.23,12
2026-03-30 05:45:00+00:00,2026-03-30 05:55:00+00:00,SELL,1162.375,1162.6888,1,TP,-1.57,-3.05,2
2026-03-31 01:35:00+00:00,2026-03-31 02:35:00+00:00,SELL,1158.125,1159.375,1,TIME,-6.25,-7.73,12
2026-03-31 04:20:00+00:00,2026-03-31 05:20:00+00:00,SELL,1160.625,1161.375,1,TIME,-3.75,-5.23,12
2026-03-31 05:30:00+00:00,2026-03-31 05:35:00+00:00,SELL,1159.375,1161.6496,1,SL,-11.37,-12.85,1
2026-04-01 01:05:00+00:00,2026-04-01 02:05:00+00:00,BUY,1171.125,1171.375,1,TIME,1.25,-0.22999999999999998,12
2026-04-01 05:05:00+00:00,2026-04-01 05:15:00+00:00,BUY,1172.625,1170.213,1,SL,-12.06,-13.540000000000001,2
2026-04-01 10:40:00+00:00,2026-04-01 10:50:00+00:00,BUY,1166.875,1164.1291,1,SL,-13.73,-15.21,2
2026-04-02 15:55:00+00:00,2026-04-02 16:55:00+00:00,BUY,1164.875,1164.875,1,TIME,0.0,-1.48,12
2026-04-06 00:05:00+00:00,2026-04-06 01:05:00+00:00,BUY,1162.625,1160.375,1,TIME,-11.25,-12.73,12
